Sourceid,Title,SJR,field,octile
12094,Journal of the American Statistical Association,3.746,18,8
12137,Journal of Statistical Software,13.802,18,8
12402,MIS Quarterly: Management Information Systems,5.085,18,8
13530,"Journal of the Royal Statistical Society. Series A, (Statistics in Society)",1.982,18,8
13531,Journal of the Royal Statistical Society. Series B: Statistical Methodology,7.005,18,8
13533,Journal of the Royal Statistical Society. Series C: Applied Statistics,1.982,18,8
13649,Annals of Statistics,5.87,18,8
14189,Statistica Sinica,2.234,18,8
14756,Statistical Science,2.012,18,8
15049,Biometrika,3.485,18,8
15298,Structural Equation Modeling,3.818,18,8
15495,Finance and Stochastics,2.997,18,8
15574,Information Systems Research,3.16,18,8
15700,Journal of Management Information Systems,2.489,18,8
19165,International Journal of Production Economics,2.401,18,8
19169,Journal of Operations Management,5.739,18,8
20037,International Journal of Management Reviews,2.719,18,8
20039,International Journal of Operations and Production Management,2.052,18,8
20891,Transportation Research Part A: Policy and Practice,1.939,18,8
20892,Transportation Research Part B: Methodological,3.109,18,8
20893,"Transportation Research, Part C: Emerging Technologies",2.293,18,8
21307,Management Science,5.356,18,8
21789,Manufacturing and Service Operations Management,3.968,18,8
21915,Omega,3.521,18,8
22238,Operations Research,2.951,18,8
22330,Organizational Research Methods,3.399,18,8
22405,Production and Operations Management,3.379,18,8
22489,European Journal of Operational Research,2.437,18,8
22900,Research Policy,3.688,18,8
23614,Statistics and Computing,2.545,18,8
23863,Journal of Computational and Graphical Statistics,3.135,18,8
24710,Annals of Applied Probability,2.52,18,8
24721,Annals of Mathematics,10.923,18,8
24724,Annals of Probability,3.882,18,8
25829,Probability Theory and Related Fields,3.037,18,8
27162,Journal of Business and Economic Statistics,3.664,18,8
5100155103,Journal of Informetrics,2.06,18,8
19700201522,Journal of Business Logistics,2.089,18,8
21100797724,Journal of Survey Statistics and Methodology,2.212,18,8
12068,International Statistical Review,1.355,18,7
12140,Journal of Time Series Analysis,1.395,18,7
12277,Management Accounting Research,1.426,18,7
12303,Information and Management,1.628,18,7
12396,Journal of Strategic Information Systems,1.707,18,7
12512,Journal of Management in Engineering - ASCE,1.233,18,7
14072,Scandinavian Journal of Statistics,1.729,18,7
14882,Test,1.514,18,7
15134,Information Sciences,1.635,18,7
18658,Production Planning and Control,1.256,18,7
20292,Ecological Indicators,1.406,18,7
20909,Transportation Research Part E: Logistics and Transportation Review,1.901,18,7
21184,Journal of Quality Technology,1.814,18,7
21216,MIT Sloan Management Review,1.822,18,7
21926,Decision Sciences,1.382,18,7
21933,Decision Support Systems,1.656,18,7
22140,Mathematics of Operations Research,1.267,18,7
22902,Oxford Bulletin of Economics and Statistics,1.654,18,7
23212,Annales de l'institut Henri Poincare (B) Probability and Statistics,1.896,18,7
23842,Journal of Classification,1.291,18,7
23947,Journal of Multivariate Analysis,1.391,18,7
24355,Computers and Operations Research,1.916,18,7
24772,Knowledge-Based Systems,1.378,18,7
25040,INFORMS Journal on Computing,1.504,18,7
25802,Communications in Analysis and Geometry,1.791,18,7
26398,Electronic Journal of Probability,1.665,18,7
27656,International Journal of Production Research,1.432,18,7
28094,"Accounting, Organizations and Society",1.771,18,7
28632,Biostatistics,1.553,18,7
29170,Critical Perspectives on Accounting,1.773,18,7
88345,Journal of Global Optimization,1.311,18,7
144935,Statistical Modelling,1.269,18,7
7000153205,Journal of Environmental Informatics,1.483,18,7
17600155106,Flexible Services and Manufacturing Journal,1.633,18,7
19400157006,Judgment and Decision Making,1.409,18,7
19900192726,Electronic Journal of Statistics,1.529,18,7
21100198229,Statistics Surveys,1.294,18,7
21100211345,Annals of Applied Statistics,1.745,18,7
12136,Journal of Statistical Planning and Inference,1.226,18,6
12689,Information Processing and Management,0.92,18,6
12837,Metrika,0.848,18,6
13734,Biometrical Journal,1.169,18,6
14233,Statistical Papers,1.004,18,6
15961,Naval Research Logistics,0.961,18,6
