Sourceid,Title,SJR,field,octile
12066,Journal of the American Medical Directors Association,2.139,29,8
12538,European Journal of Clinical Nutrition,1.249,29,8
12539,European Journal of Nutrition,1.408,29,8
12653,Nutrition Journal,1.447,29,8
12697,International Journal of Obesity,2.65,29,8
12715,Journal of Human Nutrition and Dietetics,1.157,29,8
12716,Journal of Nutrition,2.191,29,8
12717,Journal of Nutrition Education and Behavior,1.128,29,8
12719,Journal of Nutritional Biochemistry,1.678,29,8
12721,Journal of Parenteral and Enteral Nutrition,1.58,29,8
12978,Prehospital Emergency Care,1.286,29,8
13241,"Nutrition, Metabolism and Cardiovascular Diseases",1.475,29,8
13307,Nutrition,1.3,29,8
13343,Nutrition Research,1.135,29,8
13345,Nutrition Reviews,2.499,29,8
13348,Proceedings of the Nutrition Society,1.373,29,8
13382,Health Care Management Review,1.244,29,8
14875,International Journal of Behavioral Nutrition and Physical Activity,2.626,29,8
15506,Journal of Fluency Disorders,1.073,29,8
15989,Journal of Palliative Medicine,1.34,29,8
16790,Journal of Pain and Symptom Management,1.654,29,8
17639,Alzheimer Disease and Associated Disorders,1.157,29,8
19064,Resuscitation,2.643,29,8
20618,Stroke,3.529,29,8
22130,Obesity Surgery,1.396,29,8
23140,Current Opinion in Lipidology,1.847,29,8
23161,Food Quality and Preference,1.237,29,8
25334,Journal of Substance Abuse Treatment,1.311,29,8
25491,Diabetes Care,6.693,29,8
26661,"Journal of Nutrition, Health and Aging",1.249,29,8
27997,Public Health Nutrition,1.122,29,8
28137,International Journal of Nursing Studies,1.646,29,8
28186,Journal of Advanced Nursing,1.052,29,8
28237,Journal of Nursing Scholarship,1.174,29,8
28478,Aging and Mental Health,1.188,29,8
28582,Biogerontology,1.428,29,8
28806,Nurse Education Today,1.154,29,8
29070,The Gerontologist,2.038,29,8
29189,Journal of Aging and Health,1.054,29,8
29253,Nursing Outlook,1.108,29,8
29561,Journals of Gerontology - Series B Psychological Sciences and Social Sciences,1.625,29,8
29990,American Journal of Clinical Nutrition,3.438,29,8
29992,Annals of Nutrition and Metabolism,1.317,29,8
29994,Appetite,1.441,29,8
30025,British Journal of Nutrition,1.612,29,8
30050,Clinical Nutrition,1.905,29,8
38138,Current Opinion in Clinical Nutrition and Metabolic Care,1.521,29,8
68935,Nutrition Research Reviews,1.756,29,8
500147002,Worldviews on Evidence-Based Nursing,1.061,29,8
500147005,Maternal and Child Nutrition,1.578,29,8
4700151731,"Applied Physiology, Nutrition and Metabolism",1.112,29,8
4700152825,Obesity,2.06,29,8
5200152805,Journal of hospital medicine (Online),1.368,29,8
5300152207,"Current Opinion in Endocrinology, Diabetes and Obesity",1.467,29,8
5400152645,Journal of Cancer Survivorship,1.803,29,8
5700191208,Journal of Clinical Lipidology,1.654,29,8
6200180159,World Psychiatry,7.027,29,8
6300153105,Current Opinion in HIV and AIDS,2.286,29,8
11500153509,Journal of Oncology Practice,1.408,29,8
15300154824,Nutrition and Metabolism,1.528,29,8
17500155016,Journal of Functional Foods,1.245,29,8
17500155156,Early Intervention in Psychiatry,1.163,29,8
19700174999,Patient,1.095,29,8
19700188323,Nutrients,1.557,29,8
19700200840,Childhood Obesity,1.53,29,8
21100198495,Journal of the Academy of Nutrition and Dietetics,1.505,29,8
21100201916,Pediatric Obesity,2.097,29,8
21100202730,Advances in Nutrition,2.196,29,8
21100212900,Global Heart,1.329,29,8
12575,Food and Nutrition Bulletin,0.768,29,7
13180,Journal of Renal Nutrition,1.035,29,7
13308,Nutrition and Cancer,0.745,29,7
13323,Nutrition in Clinical Practice,0.87,29,7
13783,Journal of Voice,0.735,29,7
14183,Aphasiology,0.86,29,7
15428,Journal of Communication Disorders,0.762,29,7
15970,Journal of Medicinal Food,0.688,29,7
16150,International Journal of Mental Health Nursing,0.782,29,7
16200,International Psychogeriatrics,1.048,29,7
17601,Journal of Clinical Biochemistry and Nutrition,0.948,29,7
18122,Nutritional Neuroscience,0.892,29,7
20122,Women's Health Issues,0.897,29,7
20653,Topics in Stroke Rehabilitation,0.732,29,7
21172,Complementary Therapies in Medicine,0.845,29,7
21792,Journal of the Association of Nurses in AIDS Care,0.711,29,7
21937,Pain Management Nursing,0.687,29,7
23849,Journal of Cardiovascular Nursing,0.709,29,7
26613,Administration and Policy in Mental Health and Mental Health Services Research,1.005,29,7
27098,American Journal of Critical Care,0.778,29,7
27155,BMC Nursing,0.766,29,7
27169,Biological Research for Nursing,0.685,29,7
27197,Cancer Nursing,0.858,29,7
27682,European Journal of Cardiovascular Nursing,0.945,29,7
27684,European Journal of Oncology Nursing,0.94,29,7
28100,BMC Medical Ethics,1.016,29,7
28191,Journal of Clinical Nursing,0.76,29,7
28224,Journal of Nursing Administration,0.727,29,7
28225,Journal of Nursing Care Quality,0.772,29,7
28233,Journal of Nursing Management,0.978,29,7
28249,Journal of Professional Nursing,0.749,29,7
28541,Archives of Gerontology and Geriatrics,1.01,29,7
