scopus_id,country
60000046,Romania
60000434,Romania
60000794,Romania
60001317,Romania
60001478,Romania
60001586,Romania
60001705,Romania
60001974,Romania
60002103,Romania
60002823,Romania
60002891,Romania
60003012,Romania
60003120,Romania
60003161,Romania
60003322,Romania
60003594,Romania
60005360,Romania
60007123,Romania
60007507,Romania
60007512,Romania
60007804,Romania
60008229,Russia
60008240,Romania
60008717,Romania
60009008,Romania
60009315,Romania
60009915,Romania
60010026,Romania
60011164,Romania
60012029,Romania
60012117,Romania
60012359,Romania
60012489,Romania
60012910,Romania
60013039,Romania
60013180,Romania
60013843,Romania
60013886,Romania
60014336,Romania
60014457,Romania
60014591,Romania
60014596,Romania
60016071,Romania
60016452,Romania
60017524,Romania
60018494,Romania
60018938,Romania
60021028,Romania
60021640,Russia
60022305,Romania
60022697,Romania
60023141,Romania
60023300,Romania
60023315,Romania
60023386,Romania
60023428,Romania
60023654,Romania
60023678,Romania
60024417,Romania
60025503,Russia
60025657,Romania
60026019,Romania
60026276,Romania
60026575,Romania
60027373,Romania
60027705,Romania
60027738,Romania
60027849,Romania
60027991,Romania
60029434,Romania
60029791,Romania
60030217,Romania
60030229,Russia
60030238,Romania
60032878,Romania
60033150,Romania
60034026,Romania
60035427,Romania
60035776,Romania
60036487,Romania
60037251,Romania
60038175,Romania
60038338,Romania
60038839,Romania
60041952,Romania
60044461,Romania
60044971,Romania
60045323,Romania
60045549,Romania
60045886,Romania
60047006,Romania
60049414,Romania
60051323,Romania
60053382,Romania
60054244,Romania
60055765,Romania
60056592,Romania
60056675,Romania
60058130,Romania
60058850,Romania
60059014,Romania
60061908,Romania
60061993,Romania
60062355,Romania
60063041,Romania
60063324,Romania
60064199,Romania
60066740,Romania
60067240,Romania
60067419,Romania
60067908,Romania
60071746,South Sudan
60072829,Curaçao
60072830,Curaçao
60072831,United States
60078584,Romania
60078585,Romania
60078586,Romania
60078587,Romania
60078588,Romania
60078589,Romania
60078591,Romania
60078592,Romania
60078593,Romania
60078594,Romania
60078595,Romania
60078596,Romania
60078597,Romania
60078598,Romania
60078599,Romania
60078600,Romania
60078601,Romania
60078603,Romania
60090988,Romania
60090990,Romania
60090991,Romania
60090994,Romania
60090997,Romania
60090998,Romania
60091000,Romania
60091001,Romania
60091002,Romania
60091008,Romania
60091010,Romania
60091011,Romania
60091013,Romania
60091014,Romania
60091015,Romania
60091016,Romania
60091017,Romania
60091018,Romania
60091019,Romania
60091020,Romania
60091022,Romania
60091024,Romania
60091025,Romania
60091026,Romania
60091028,Romania
60091029,Romania
60091030,Romania
60091031,Romania
60091033,Romania
60091034,Romania
60091035,Romania
60091037,Romania
60091039,Romania
60091041,Romania
60091042,Romania
60091043,Romania
60091044,Romania
60091045,Romania
60091051,Romania
60091055,Romania
60091056,Romania
60091061,Romania
60091063,Romania
60091065,Romania
60091067,Mangalia
60091068,Romania
60091070,Romania
60091072,Romania
60091073,Romania
60091075,Romania
60091076,Romania
60091082,Romania
60091085,Romania
60091086,Romania
60091091,Romania
60091092,Romania
60091093,Romania
60091096,Romania
60091097,Romania
60091099,Romania
60091100,Romania
60091104,Romania
60091105,Romania
60091106,Romania
60091108,Romania
60091112,Romania
60091113,Romania
60091114,Romania
60091115,Romania
60091119,Romania
60091123,Romania
60091124,Romania
60091127,Romania
60091128,Romania
60091129,Romania
60091130,Romania
60091132,Romania
60091133,Romania
60091136,Romania
60091138,Romania
60091139,Romania
60091141,Romania
60091142,Romania
60092398,Romania
60092400,Romania
60092401,Romania
60092407,Romania
60103690,Romania
60104059,Romania
60104419,Romania
60104825,Czechia
60106627,Romania
60106681,Romania
60106783,Romania
60107579,Kosovo
60107791,Romania
60107810,Romania
60108350,Romania
60108906,Kosovo
60109456,Kosovo
60109546,Romania
60109708,Kosovo
60110723,United Kingdom
60111734,Denmark
60111802,Romania
60111803,Romania
60112725,Kosovo
60113175,Romania
60116472,Romania
60116938,Curaçao
60117599,Kosovo
60121589,Romania
60121719,Romania
60121867,Romania
60162109,Romania
