year,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1996,49174,19455,104059,9983.0,22181.0,60118,20069,5784.0,28190,8339.0,9588.0,63122,63649.0,23831,62352.0,28375,225719,25800,9272.0,26629,86057,14914.0,35216,6652.0,3807.0,10303.0
1997,51553,19806,105726,10063.0,22855.0,64279,20595,5849.0,29561,8322.0,10796.0,67991,68561.0,25513,65789.0,28784,233007,24949,9822.0,26392,89014,15156.0,35635,6472.0,3811.0,10815.0
1998,53497,21099,102327,10546.0,22667.0,66734,21481,6109.0,31277,8605.0,9924.0,66935,67441.0,24399,66773.0,28763,229027,23005,9985.0,27120,91898,15094.0,37452,6783.0,3984.0,10807.0
1999,54465,20572,100427,10734.0,23831.0,69537,21946,6193.0,31843,8712.0,9901.0,70408,70824.0,26277,68770.0,29698,230187,23974,10072.0,27800,93046,15916.0,37890,6800.0,4120.0,10378.0
2000,57129,21392,106954,11404.0,25138.0,73091,22805,6337.0,33126,9106.0,11276.0,76291,76641.0,29851,73091.0,31039,245771,24587,11099.0,28025,98016,16903.0,40906,7018.0,4489.0,12926.0
2001,57654,22000,106371,11848.0,26831.0,74061,23467,6244.0,35394,9541.0,11585.0,78617,79324.0,27882,75627.0,31753,248221,24122,11461.0,28715,101476,17354.0,42336,7302.0,4861.0,12217.0
2002,61034,24794,111112,12446.0,29103.0,79880,24341,6217.0,36931,10390.0,12469.0,78133,78449.0,27755,80073.0,33183,254670,26238,12315.0,30350,107614,17698.0,45485,7505.0,4811.0,12485.0
2003,65209,26013,117240,13114.0,30577.0,83692,26891,6390.0,38692,11046.0,12368.0,85750,86230.0,28890,80796.0,35438,267801,27334,13045.0,31205,110055,18228.0,46951,7856.0,5145.0,13084.0
2004,67530,27099,123919,14333.0,34146.0,92269,28721,6990.0,43700,11790.0,14187.0,95151,95643.0,30417,88978.0,37552,283060,27338,13816.0,33732,114783,19792.0,51317,8116.0,5383.0,14064.0
2005,71341,29480,130543,15431.0,37607.0,98499,32221,7357.0,44191,12516.0,15320.0,104950,105474.0,31894,92557.0,40151,302263,28905,14295.0,35550,118274,20446.0,55403,8594.0,5595.0,14952.0
2006,77858,31940,135962,16585.0,39771.0,104254,37397,8150.0,47537,13397.0,16549.0,115948,116643.0,34196,99697.0,44364,322375,31457,15467.0,37763,127190,22676.0,60355,10203.0,6040.0,15611.0
2007,85623,33186,141091,17169.0,42829.0,108846,40659,8832.0,47888,14096.0,21768.0,124431,125021.0,36022,105049.0,50501,336702,32745,17287.0,39181,132196,24574.0,63462,10941.0,6550.0,16497.0
2008,90995,36223,145863,18840.0,47660.0,114135,43985,10052.0,50006,16063.0,23916.0,130987,131625.0,36534,109507.0,53041,353105,33351,18119.0,42398,134897,25900.0,70533,11687.0,6798.0,16860.0
2009,95772,39516,151045,19865.0,50754.0,117411,48098,10293.0,52912,16723.0,26549.0,143915,144535.0,38355,112669.0,56885,373436,35328,19305.0,42978,134712,27886.0,76597,12586.0,6971.0,17915.0
2010,102241,41348,157437,21069.0,55323.0,122760,49008,10196.0,55348,17529.0,29637.0,148491,149101.0,38329,116772.0,55527,391000,36422,20283.0,45343,138305,29713.0,82240,12815.0,7185.0,18996.0
2011,113367,44689,170923,22390.0,61638.0,134433,54791,10474.0,57813,18244.0,33642.0,159703,160356.0,41113,125254.0,57723,419655,37949,21152.0,47921,148917,32184.0,88314,13005.0,7863.0,20538.0
2012,129646,46116,188013,23531.0,65192.0,137804,58345,11608.0,61221,19431.0,34739.0,167312,167926.0,43174,127251.0,61721,456234,39232,22461.0,50881,153461,34030.0,92610,14227.0,8937.0,22136.0
2013,143070,50037,199644,24860.0,73659.0,151677,63533,12553.0,66775,20801.0,43384.0,186201,186777.0,46316,143000.0,63409,493500,42154,24466.0,51789,160754,37279.0,99979,13898.0,8965.0,22950.0
2014,146876,53270,203540,25694.0,83782.0,161775,67173,13211.0,70078,21484.0,47036.0,196621,197071.0,49469,150761.0,66144,513153,44673,25161.0,53092,165974,40005.0,106282,13561.0,9210.0,24989.0
2015,145598,52218,201783,26977.0,91293.0,168845,67935,12876.0,71274,20657.0,50731.0,206606,207050.0,49739,156177.0,66336,514484,45362,26658.0,53994,163938,39517.0,107148,13136.0,8824.0,24933.0
2016,145179,53487,194273,29037.0,94111.0,170154,72508,14111.0,74570,21532.0,55854.0,221087,221665.0,48604,156560.0,69056,523013,46207,27205.0,55848,165242,40611.0,111095,13245.0,8699.0,25197.0
2017,146279,54701,193123,31120.0,94717.0,171257,79564,13816.0,74999,23173.0,62266.0,236421,237002.0,50078,169350.0,71864,531969,46651,27890.0,56873,170039,42349.0,117522,13631.0,8935.0,25779.0
2018,150239,55646,204580,32748.0,96784.0,178504,88318,14390.0,80748,23499.0,69372.0,254033,254722.0,53213,181692.0,75103,555209,49947,29367.0,62329,176256,43630.0,125476,13981.0,9223.0,25988.0
2019,160701,65989,220575,41286.0,108055.0,198542,109350,16925.0,85006,26513.0,77462.0,281277,281945.0,53643,200406.0,85189,604673,53421,34544.0,67188,181423,52440.0,153440,15354.0,9621.0,29207.0
