year,country,multiaffsize,multiaffshare,foreignaffshare
1996,Argentina,3758,9.127195316657795,27.988338192419825
1996,Australia,20217,10.263639511302369,35.08433734939759
1996,Austria,5967,7.876654935478465,45.95744680851064
1996,Belgium,9526,8.49254671425572,53.27564894932016
1996,Canada,37537,13.304206516237313,32.278734481377654
1996,Chile,1404,6.054131054131054,58.82352941176471
1996,China,21325,5.1582649472450175,40.18181818181818
1996,Czechia,2803,6.0649304316803425,50.588235294117645
1996,Denmark,6860,10.393586005830905,38.99018232819074
1996,Estonia,424,3.5377358490566038,46.666666666666664
1996,Finland,7137,10.606697491943393,34.34610303830912
1996,France,51128,7.995618838992333,39.26125244618395
1996,Germany,58102,8.12364462496988,52.478813559322035
1996,Greece,4608,6.792534722222222,35.78274760383386
1996,Hungary,3021,4.634227077126779,65.71428571428571
1996,Ireland,2281,7.321350284962735,57.48502994011976
1996,Israel,9512,11.501261564339782,28.70201096892139
1996,Italy,42306,6.244977071810145,31.22634367903104
1996,Japan,91534,6.010881202613237,22.500908760450745
1996,Lithuania,339,6.784660766961652,52.17391304347826
1996,Mexico,4034,6.7922657411998015,41.97080291970803
1996,Netherlands,21739,9.462256773540641,39.91249392318911
1996,New Zealand,3703,7.156359708344586,49.81132075471698
1996,Norway,4488,8.533868092691623,37.33681462140992
1996,Poland,6862,3.8764208685514423,60.526315789473685
1996,Portugal,2212,9.538878842676311,37.44075829383886
1996,Romania,976,3.3811475409836067,93.93939393939394
1996,Russia,14678,4.380705818231367,73.09486780715396
1996,Singapore,2015,5.6575682382134,58.77192982456141
1996,Slovakia,1252,4.952076677316294,77.41935483870968
1996,Slovenia,890,5.617977528089887,46.0
1996,South Africa,3014,8.858659588586596,51.31086142322098
1996,South Korea,10348,5.073444143795903,34.095238095238095
1996,Spain,25161,5.186598306903542,43.60153256704981
1996,Sweden,14604,10.353327855382087,48.34656084656085
1996,Switzerland,12819,10.117793899680162,69.236700077101
1996,Taiwan,9679,6.663911561111685,27.596899224806204
1996,Turkey,5008,3.4544728434504792,38.15028901734104
1996,United Kingdom,73896,9.92069936126448,38.64411403628427
1996,United States,330965,12.346924901424622,19.655442443226313
1997,Argentina,4667,6.985215341761303,22.392638036809817
1997,Australia,21425,10.604434072345391,37.191901408450704
1997,Austria,6374,7.5462817696893625,52.5987525987526
1997,Belgium,9949,8.734546185546286,53.855005753739924
1997,Canada,37502,13.487280678363819,32.819296164491895
1997,Chile,1687,5.038529934795495,60.0
1997,China,23630,4.900550148116801,36.87392055267703
1997,Czechia,3139,6.307741318891366,54.04040404040404
1997,Denmark,7475,10.394648829431437,38.48133848133848
1997,Estonia,462,5.844155844155844,66.66666666666666
1997,Finland,7693,10.568048875601196,31.980319803198032
1997,France,55246,8.348115700684213,38.18300086730269
1997,Germany,63009,8.000444380961449,50.98194802618528
1997,Greece,5091,6.265959536436849,38.87147335423197
1997,Hungary,3324,5.565583634175693,58.37837837837838
1997,Ireland,2574,6.7987567987567985,58.285714285714285
1997,Israel,10180,11.719056974459725,31.34953897736798
1997,Italy,43654,6.301828011178816,29.37113776808433
1997,Japan,97264,6.157468333607501,24.261145433294374
1997,Lithuania,368,5.163043478260869,68.42105263157895
1997,Mexico,4866,6.103575832305795,45.79124579124579
1997,Netherlands,22335,9.858965748824716,40.281562216167124
1997,New Zealand,4068,8.259587020648967,52.38095238095239
1997,Norway,4677,9.108402822322,31.690140845070424
1997,Poland,7617,4.581856373900486,60.458452722063036
1997,Portugal,2527,8.824693312227938,36.771300448430495
1997,Romania,1143,3.849518810148731,79.54545454545455
1997,Russia,15135,4.149322761810374,74.20382165605095
1997,Singapore,2442,6.306306306306306,52.5974025974026
1997,Slovakia,1301,3.996925441967717,61.53846153846154
1997,Slovenia,952,6.092436974789916,41.37931034482759
1997,South Africa,3357,8.757819481680071,42.857142857142854
1997,South Korea,13132,5.048735912275358,32.42835595776772
1997,Spain,26279,5.863997869020891,43.02401038286827
1997,Sweden,15524,10.351713475908271,45.301804604853764
1997,Switzerland,13628,9.737305547402407,65.10926902788245
1997,Taiwan,10391,7.429506303531902,22.150259067357513
1997,Turkey,5567,3.3770432908209087,33.51063829787234
1997,United Kingdom,75619,9.320408891945146,38.7627695800227
1997,United States,329748,12.503790773560416,19.827314399359704
1998,Argentina,4550,8.373626373626374,22.04724409448819
1998,Australia,22494,10.811772028096382,34.62171052631579
1998,Austria,6583,8.294090840042534,45.97069597069597
1998,Belgium,10810,8.43663274745606,48.57456140350877
1998,Canada,37346,12.852782091790285,31.270833333333332
1998,Chile,1627,4.7326367547633685,51.94805194805194
1998,China,26938,5.026356819362982,38.77400295420975
1998,Czechia,3287,6.327958624885914,41.34615384615385
1998,Denmark,7630,10.065530799475754,40.10416666666667
1998,Estonia,523,8.030592734225621,54.761904761904766
1998,Finland,8130,11.402214022140221,35.92233009708738
1998,France,57140,8.76618830941547,37.15312437612298
1998,Germany,66337,8.04076156594359,52.155980502437195
1998,Greece,5506,6.411187795132582,35.977337110481585
1998,Hungary,3713,6.086722326959332,55.309734513274336
1998,Ireland,2765,7.233273056057866,61.5
1998,Israel,10442,11.721892357785865,28.513071895424837
1998,Italy,44160,6.546648550724638,29.885852646143203
1998,Japan,101126,6.18436406067678,22.08186760473297
1998,Lithuania,409,6.112469437652812,56.00000000000001
1998,Mexico,4996,6.5852682145716575,44.07294832826747
1998,Netherlands,23019,9.483470176810462,36.646816307833255
1998,New Zealand,4189,8.426832179517785,53.25779036827195
1998,Norway,5077,9.11955879456372,27.213822894168466
1998,Poland,7915,4.548325963360708,58.333333333333336
1998,Portugal,2840,9.084507042253522,26.744186046511626
1998,Romania,1015,4.827586206896552,83.6734693877551
1998,Russia,16164,4.219252660232615,74.48680351906158
1998,Singapore,2603,8.374951978486362,60.09174311926605
1998,Slovakia,1384,4.407514450867052,62.295081967213115
1998,Slovenia,1034,6.673114119922631,34.78260869565217
1998,South Africa,3407,8.306427942471382,50.8833922261484
1998,South Korea,15071,5.0162563864375285,33.46560846560847
1998,Spain,28007,5.320098546791874,41.006711409395976
1998,Sweden,16041,10.342247989526838,44.18324291742014
1998,Switzerland,14027,10.052042489484565,68.22695035460993
1998,Taiwan,10937,7.497485599341684,21.341463414634145
1998,Turkey,5903,2.9815348128070474,40.909090909090914
1998,United Kingdom,78882,8.996982835120813,39.70691841623221
1998,United States,329914,12.380196051092103,19.4349231221232
1999,Argentina,4681,8.011108737449263,25.866666666666667
1999,Australia,22661,10.401129694188253,34.06873143826898
1999,Austria,6961,8.23157592299957,50.78534031413613
1999,Belgium,10817,8.569843764444855,47.14131607335491
1999,Canada,37178,12.972725805583948,31.536388140161726
1999,Chile,1805,5.706371191135734,54.36893203883495
1999,China,29725,5.096719932716569,35.31353135313531
1999,Czechia,3619,6.935617573915446,47.410358565737056
1999,Denmark,7809,10.820847739787425,42.01183431952663
1999,Estonia,573,7.678883071553229,65.9090909090909
1999,Finland,8465,11.966922622563498,29.417571569595264
1999,France,57017,9.27091919953698,36.30344305713204
1999,Germany,67459,8.486636327250627,52.62882096069868
1999,Greece,5555,6.498649864986499,32.96398891966759
1999,Hungary,3644,7.025246981339188,51.5625
1999,Ireland,2774,7.101658255227108,55.32994923857868
1999,Israel,10686,11.85663484933558,28.176795580110497
1999,Italy,44168,7.285817786632856,27.59477936606588
1999,Japan,103782,6.640843306160991,20.69065583284968
1999,Lithuania,410,9.512195121951219,38.46153846153847
1999,Mexico,5294,6.441254250094447,43.988269794721404
1999,Netherlands,22379,10.013852272219491,36.59080767514503
1999,New Zealand,4568,6.436077057793345,53.06122448979592
1999,Norway,5075,9.517241379310343,34.161490683229815
1999,Poland,8467,4.913192394000236,54.32692307692307
1999,Portugal,3287,10.435047155460907,27.988338192419825
1999,Romania,1175,5.361702127659575,73.01587301587301
1999,Russia,15677,4.969062958474198,72.91399229781771
1999,Singapore,3024,6.084656084656085,60.86956521739131
1999,Slovakia,1426,4.067321178120617,58.620689655172406
1999,Slovenia,1113,7.637017070979335,37.64705882352941
1999,South Africa,3551,7.63165305547733,46.494464944649444
1999,South Korea,17692,5.301831336197151,30.810234541577824
1999,Spain,28795,5.4662267754818545,38.564167725540024
1999,Sweden,16332,11.03967670830272,45.75707154742096
1999,Switzerland,14319,10.34290104057546,68.7373396353815
1999,Taiwan,11738,7.931504515249617,16.219119226638025
1999,Turkey,6673,3.371796793046606,40.44444444444444
1999,United Kingdom,79417,8.901116889331,38.85981043994907
1999,United States,330291,12.02575910333615,20.017623363544814
2000,Argentina,5766,8.047173083593478,23.49137931034483
2000,Australia,25272,10.086261475150364,32.67948214986269
2000,Austria,7876,8.265617064499747,49.46236559139785
2000,Belgium,11544,8.064795564795565,49.94629430719657
2000,Canada,40552,12.273130795028605,30.560578661844485
2000,Chile,1950,5.0256410256410255,59.183673469387756
2000,China,35556,5.681178985262685,34.00990099009901
2000,Czechia,3980,7.487437185929648,39.93288590604027
2000,Denmark,8691,10.401564837187896,41.92477876106195
2000,Estonia,594,7.744107744107744,52.17391304347826
2000,Finland,9526,11.694310308629015,31.23877917414722
2000,France,60626,8.831194536997328,35.65558460963765
2000,Germany,72512,7.758715798764343,52.34624955563455
2000,Greece,6553,7.004425453990539,36.165577342047925
2000,Hungary,4274,6.668226485727656,53.68421052631579
2000,Ireland,3169,6.121804985799937,53.608247422680414
2000,Israel,11384,12.67568517217147,30.6999306999307
2000,Italy,49948,7.6719788580123325,29.27974947807933
2000,Japan,111470,7.0270027810173135,19.826375590450656
2000,Lithuania,504,4.9603174603174605,56.00000000000001
2000,Mexico,6010,6.655574043261231,40.25
2000,Netherlands,24067,10.495699505547014,37.173396674584325
2000,New Zealand,4840,7.293388429752066,49.57507082152974
2000,Norway,5498,8.475809385230994,34.97854077253219
2000,Poland,9514,4.677317637166281,52.13483146067416
2000,Portugal,3717,10.976594027441484,26.715686274509803
2000,Romania,1312,6.859756097560976,72.22222222222221
2000,Russia,16670,5.0749850029994,68.2033096926714
