year,country,field,multiaffsize,multiaffshare,foreignaffshare
1996,Argentina,Arts/Humanities,49,6.122448979591836,66.66666666666666
1996,Argentina,Biochemistry,957,7.41901776384535,33.80281690140845
1996,Argentina,Biology,714,9.103641456582633,44.61538461538462
1996,Argentina,Chemistry,603,9.950248756218906,20.0
1996,Argentina,Computer Sci.,78,6.41025641025641,20.0
1996,Argentina,Engineering,313,13.738019169329075,25.581395348837212
1996,Argentina,Immunology,286,9.090909090909092,30.76923076923077
1996,Argentina,Mathematics,182,8.241758241758241,40.0
1996,Argentina,Medicine,1657,7.543753771876887,27.200000000000003
1996,Argentina,Neuroscience,205,8.292682926829269,29.411764705882355
1996,Argentina,Pharmaceutics,277,3.2490974729241873,0.0
1996,Argentina,Physics,740,13.108108108108107,18.556701030927837
1996,Argentina,Planetary Sci.,243,12.345679012345679,13.333333333333334
1996,Argentina,Social Sci.,42,7.142857142857142,0.0
1996,Australia,Arts/Humanities,919,3.264417845484222,43.333333333333336
1996,Australia,Biochemistry,4480,11.09375,33.400402414486926
1996,Australia,Biology,3426,11.85055458260362,31.03448275862069
1996,Australia,Chemistry,1786,6.4949608062709965,50.0
1996,Australia,Computer Sci.,650,5.230769230769231,55.88235294117647
1996,Australia,Engineering,1816,6.938325991189427,54.761904761904766
1996,Australia,Immunology,1687,11.558980438648488,32.82051282051282
1996,Australia,Mathematics,808,7.1782178217821775,65.51724137931035
1996,Australia,Medicine,9645,10.378434421980302,23.776223776223777
1996,Australia,Neuroscience,1076,8.550185873605948,31.521739130434785
1996,Australia,Pharmaceutics,1077,7.7994428969359335,23.809523809523807
1996,Australia,Physics,2020,10.0,71.28712871287128
1996,Australia,Planetary Sci.,1524,9.514435695538058,45.51724137931035
1996,Australia,Social Sci.,1836,3.104575163398693,43.859649122807014
1996,Austria,Arts/Humanities,114,2.631578947368421,66.66666666666666
1996,Austria,Biochemistry,1660,6.626506024096386,32.72727272727273
1996,Austria,Biology,458,7.860262008733625,58.333333333333336
1996,Austria,Chemistry,569,6.32688927943761,91.66666666666666
1996,Austria,Computer Sci.,202,7.425742574257425,73.33333333333333
1996,Austria,Engineering,568,6.514084507042253,67.56756756756756
1996,Austria,Immunology,620,5.483870967741936,52.94117647058824
1996,Austria,Mathematics,317,9.46372239747634,76.66666666666667
1996,Austria,Medicine,3533,7.642230399094255,23.703703703703706
1996,Austria,Neuroscience,384,1.3020833333333335,40.0
1996,Austria,Pharmaceutics,408,4.411764705882353,33.33333333333333
1996,Austria,Physics,916,10.043668122270741,85.86956521739131
1996,Austria,Planetary Sci.,186,9.13978494623656,70.58823529411765
1996,Austria,Social Sci.,119,2.5210084033613445,33.33333333333333
1996,Belgium,Arts/Humanities,219,9.1324200913242,65.0
1996,Belgium,Biochemistry,2642,7.115821347464042,47.340425531914896
1996,Belgium,Biology,1059,7.459867799811143,67.08860759493672
1996,Belgium,Chemistry,1354,7.016248153618906,78.94736842105263
1996,Belgium,Computer Sci.,355,9.014084507042254,68.75
1996,Belgium,Engineering,1026,7.797270955165692,77.5
1996,Belgium,Immunology,855,7.485380116959065,43.75
1996,Belgium,Mathematics,420,9.523809523809524,67.5
1996,Belgium,Medicine,5047,6.439468991480086,32.30769230769231
1996,Belgium,Neuroscience,462,6.926406926406926,43.75
1996,Belgium,Pharmaceutics,860,3.255813953488372,35.714285714285715
1996,Belgium,Physics,1538,12.22366710013004,76.06382978723404
1996,Belgium,Planetary Sci.,340,14.117647058823529,58.333333333333336
1996,Belgium,Social Sci.,272,7.352941176470589,65.0
1996,Canada,Arts/Humanities,1551,7.285622179239201,41.5929203539823
1996,Canada,Biochemistry,10239,14.151772634046294,28.57142857142857
1996,Canada,Biology,5491,10.708431979602986,40.64625850340136
1996,Canada,Chemistry,3882,8.809891808346213,62.57309941520468
1996,Canada,Computer Sci.,1404,11.752136752136751,60.60606060606061
1996,Canada,Engineering,4033,8.4056533597818,50.442477876106196
1996,Canada,Immunology,2473,15.325515568135867,24.80211081794195
1996,Canada,Mathematics,1614,6.815365551425032,62.727272727272734
1996,Canada,Medicine,17977,14.229292985481448,18.295543393276
1996,Canada,Neuroscience,2729,14.474166361304508,25.31645569620253
1996,Canada,Pharmaceutics,2487,11.057498994772818,21.454545454545453
1996,Canada,Physics,3977,13.98038722655268,58.27338129496403
1996,Canada,Planetary Sci.,2515,11.809145129224651,62.62626262626263
1996,Canada,Social Sci.,2288,5.90034965034965,36.2962962962963
1996,Chile,Arts/Humanities,27,3.7037037037037033,0.0
1996,Chile,Biochemistry,356,4.49438202247191,37.5
1996,Chile,Biology,309,3.8834951456310676,58.333333333333336
1996,Chile,Chemistry,186,3.225806451612903,33.33333333333333
1996,Chile,Computer Sci.,30,3.3333333333333335,100.0
1996,Chile,Engineering,102,0.9803921568627451,100.0
1996,Chile,Immunology,58,3.4482758620689653,0.0
1996,Chile,Mathematics,63,1.5873015873015872,0.0
1996,Chile,Medicine,600,3.3333333333333335,25.0
1996,Chile,Neuroscience,60,6.666666666666667,50.0
1996,Chile,Pharmaceutics,122,1.639344262295082,50.0
1996,Chile,Physics,193,18.134715025906736,88.57142857142857
1996,Chile,Planetary Sci.,141,23.404255319148938,90.9090909090909
1996,Chile,Social Sci.,44,0.0,
1996,China,Arts/Humanities,174,1.7241379310344827,66.66666666666666
1996,China,Biochemistry,1469,3.5398230088495577,59.61538461538461
1996,China,Biology,866,4.041570438799076,77.14285714285715
1996,China,Chemistry,6502,3.2297754537065515,39.04761904761905
1996,China,Computer Sci.,1045,2.0095693779904304,90.47619047619048
1996,China,Engineering,6578,3.906962602614777,42.4124513618677
1996,China,Immunology,148,4.72972972972973,85.71428571428571
1996,China,Mathematics,1386,5.916305916305916,53.65853658536586
1996,China,Medicine,3798,4.423380726698262,52.38095238095239
1996,China,Neuroscience,165,5.454545454545454,100.0
1996,China,Pharmaceutics,827,3.869407496977025,46.875
1996,China,Physics,6496,8.389778325123153,27.706422018348626
1996,China,Planetary Sci.,2047,3.126526624328285,50.0
1996,China,Social Sci.,372,2.4193548387096775,55.55555555555556
1996,Czechia,Arts/Humanities,60,5.0,100.0
1996,Czechia,Biochemistry,550,5.454545454545454,56.666666666666664
1996,Czechia,Biology,321,3.4267912772585665,63.63636363636363
1996,Czechia,Chemistry,585,4.615384615384616,62.96296296296296
1996,Czechia,Computer Sci.,104,14.423076923076922,40.0
1996,Czechia,Engineering,415,3.8554216867469884,25.0
