year,field,multiaffsize,multiaffshare,foreignaffshare
1996,Arts/Humanities,30642,5.547940734938972,28.294117647058826
2012,Arts/Humanities,73113,6.968664943306936,30.461236506378803
2011,Arts/Humanities,70147,6.593296933582335,31.76216216216216
1998,Arts/Humanities,31478,5.759578118050702,27.137341423055712
2009,Arts/Humanities,64203,6.62741616435369,28.578143360752055
2019,Arts/Humanities,108854,8.936740955775626,32.56578947368421
2008,Arts/Humanities,57552,7.110091743119266,28.54349951124145
2013,Arts/Humanities,78682,7.300271980885081,32.67757660167131
2007,Arts/Humanities,54111,6.579068950860269,26.488764044943817
2006,Arts/Humanities,52001,6.77871579392704,27.00709219858156
2005,Arts/Humanities,47548,6.957180112728191,25.87666263603386
2004,Arts/Humanities,43395,6.526097476667819,25.49435028248588
2000,Arts/Humanities,33008,5.307804168686379,26.59817351598174
2003,Arts/Humanities,41439,6.230845338931925,25.290472501936485
2002,Arts/Humanities,38689,4.28287110031275,24.622812311406157
1999,Arts/Humanities,30689,5.467757176838607,26.6388557806913
2014,Arts/Humanities,85944,7.72596109094294,31.77710843373494
2010,Arts/Humanities,66503,6.3696374599642125,30.240793201133144
2001,Arts/Humanities,33977,4.394148983135651,22.906898861352982
2015,Arts/Humanities,85727,7.977649981919349,32.47550811522152
2016,Arts/Humanities,88240,8.161831368993653,33.44904193279645
1997,Arts/Humanities,30001,5.689810339655345,25.600468658465143
2017,Arts/Humanities,91145,8.576444127489166,32.48049123704746
2018,Arts/Humanities,95875,8.844850065189048,32.32311320754717
2019,Biochemistry,880486,14.997967031843778,19.191246071712545
2006,Biochemistry,408437,11.196830845393537,22.02615236595819
1999,Biochemistry,260129,9.447235794548089,25.676500508647
2017,Biochemistry,758486,15.008978412258104,20.62262278089616
2014,Biochemistry,728278,14.561060474159593,20.653496157291716
2007,Biochemistry,436374,11.804094652751997,21.003688604154533
2016,Biochemistry,743208,14.939155660326584,20.72161327220816
2008,Biochemistry,457578,12.452084671902933,20.42718242128541
2000,Biochemistry,285169,9.155623507463995,25.531425945076407
2018,Biochemistry,814216,15.078185641156647,20.22253174661356
2003,Biochemistry,330305,10.371626224247287,25.40428513048047
2009,Biochemistry,480595,12.905044788231255,20.615597942632334
2001,Biochemistry,292917,9.58462636173387,27.597506678539624
2010,Biochemistry,510585,12.975704339140398,21.747268007003562
1998,Biochemistry,257838,9.464082098061574,26.141299893451357
2015,Biochemistry,751601,14.930262200289782,20.978291865687602
2011,Biochemistry,566891,13.7571420255393,21.993127147766323
2002,Biochemistry,314679,11.930252733738191,31.143785626764693
2012,Biochemistry,633409,14.236457012767422,21.189908511228168
1996,Biochemistry,247025,9.581621293391358,27.39448223414593
1997,Biochemistry,255810,9.429263906805833,27.221093652833627
2013,Biochemistry,690910,14.611309721960891,21.198403185703956
2005,Biochemistry,383433,10.796410324619947,23.46788414619417
2004,Biochemistry,356764,10.349418663318048,24.44275925574845
2018,Biology,425684,13.846186372990294,26.351775504317875
2002,Biology,119813,6.955004882608732,35.281411256450255
2003,Biology,129696,9.985658771280532,34.35255964790363
2001,Biology,112558,7.394409993070239,35.45596539709239
2014,Biology,417492,13.6239736330277,25.64215263981434
2017,Biology,415161,13.679271415185914,26.31931115845821
2005,Biology,149952,10.632068928723857,32.264943862510194
2019,Biology,447756,13.666818535095008,25.827695525705135
2006,Biology,166120,10.555622441608476,31.38865126889079
2008,Biology,204489,11.391321782589772,28.475143813857645
2015,Biology,420747,13.784293173807537,25.689259789299445
2009,Biology,224049,11.805006940446063,27.812015577148475
2010,Biology,247810,12.018885436423066,28.501880204136448
2011,Biology,294407,12.824423332325658,26.652717448882296
2012,Biology,356221,13.395055316783683,25.9682286863945
2013,Biology,408987,13.703125038204147,25.16237242166869
2004,Biology,139450,9.961993546073861,33.242153757558306
