year,Journal quality group,multiaffsize,multiaffshare,foreignaffshare
1996,Fourth octile,171391,6.224364173147948,31.47731533558305
1996,Third octile,222667,6.63951101869608,32.00757575757576
1996,Second octile,304935,8.524111695935199,29.873427461239565
1996,Top octile,469069,9.384760024644562,26.796301765066673
1997,Fourth octile,178934,6.244201772720668,32.61433813657925
1997,Third octile,226191,6.9242365965047235,32.65227940237518
1997,Second octile,323331,8.128512267614301,29.499277071760137
1997,Top octile,486980,9.452133557846318,27.091027590701717
1998,Fourth octile,184914,5.976832473474156,31.01701049583786
1998,Third octile,230662,6.5936305069755745,31.37615885331054
1998,Second octile,337603,7.904550611220872,29.195083564415796
1998,Top octile,499361,9.607478357340682,27.167750541937636
1999,Fourth octile,185780,5.352029281946388,30.18203761440209
1999,Third octile,238681,6.083433536812733,29.896694214876035
1999,Second octile,340292,7.474463108154174,28.374287399252996
1999,Top octile,510736,10.377181166003572,28.460377358490568
2000,Fourth octile,202712,5.343541576226371,28.14807976366322
2000,Third octile,254550,5.631899430367315,29.49916294642857
2000,Second octile,370634,7.694922753983715,29.03927068723703
2000,Top octile,557640,9.907825837457858,27.551131221719455
2001,Fourth octile,210735,4.814577550003559,28.572836585846638
2001,Third octile,266463,5.214232369972566,29.516337987620556
2001,Second octile,386000,7.064248704663212,28.75165028604958
2001,Top octile,584730,9.854804781694115,29.083368041093987
2002,Fourth octile,221875,4.954140845070422,28.557132459970884
2002,Third octile,283785,5.353700865091531,27.683801750806293
2002,Second octile,407885,6.888461208428846,28.145353596469374
2002,Top octile,619272,10.910391556537354,30.86213276104492
2003,Fourth octile,234869,6.081688089956529,26.512181461775413
2003,Third octile,297940,6.5617238370141635,26.721227621483372
2003,Second octile,430265,7.8388899864037285,26.357922201138518
2003,Top octile,637810,10.35700286919302,26.726513064276848
2004,Fourth octile,255232,6.365581118355065,23.930571797870375
2004,Third octile,326927,6.94864602801237,25.513932297398423
2004,Second octile,471338,8.156779211521243,25.542319096915158
2004,Top octile,693043,10.551726227665528,25.59894978667542
2005,Fourth octile,277685,6.762338621099446,22.819256576845245
2005,Third octile,350799,7.1981391052996155,22.97334759019445
2005,Second octile,514711,8.920928443340049,25.023411808262736
2005,Top octile,744427,11.146828365978129,25.22897083634611
2006,Fourth octile,300871,7.011642863552818,21.108266970041715
2006,Third octile,385720,7.402001451830344,21.71552660152009
2006,Second octile,556399,8.984739368690455,23.89430097417535
2006,Top octile,787593,11.185853607129571,24.635920952564728
2007,Fourth octile,324584,7.0326941562122585,20.028913129189117
2007,Third octile,410646,7.4911237416168674,21.461543462713735
2007,Second octile,596838,9.223440866700846,22.516303656742174
2007,Top octile,837631,11.390695903088591,24.012702804678657
2008,Fourth octile,349147,7.328145451629256,19.412960212616277
2008,Third octile,429009,7.808460894759783,20.534941341532583
2008,Second octile,639808,9.745423627088126,21.798819604824224
2008,Top octile,875401,12.047050437456663,23.550161198558694
2009,Fourth octile,366919,7.114649282266658,18.808657345336144
2009,Third octile,457413,7.8653208369679035,20.95227506462462
2009,Second octile,677078,9.740975190450731,22.4413985505049
2009,Top octile,924893,12.441547292497619,24.605678233438486
2010,Fourth octile,381151,7.211052837326938,19.825359286883753
2010,Third octile,481665,8.138644078353211,21.262212698655645
2010,Second octile,717801,9.89020633852558,22.143340094658555
2010,Top octile,966863,12.37362480516888,25.235715002173258
2011,Fourth octile,417296,7.540211264905487,19.61862386778961
2011,Third octile,523880,8.729670917003894,21.640828285920453
2011,Second octile,787382,10.569964769324166,22.176963929541248
2011,Top octile,1039929,13.219267853863101,25.192949785773
2012,Fourth octile,445114,7.8049668174894515,19.314354796925823
2012,Third octile,561918,8.786513334685845,21.27276041561177
2012,Second octile,873460,11.117051725322282,21.981813126267983
2012,Top octile,1104829,13.511864732008302,25.10734644936128
2013,Fourth octile,472100,7.757042999364542,19.655388984462466
2013,Third octile,608770,8.96496213676758,20.891967165054236
2013,Second octile,965322,11.452240806694554,22.027842353303
2013,Top octile,1189991,13.797415274569303,25.029843837552075
2014,Fourth octile,498472,7.857011025694523,19.302949061662197
2014,Third octile,663333,9.323070011592971,20.28038743269246
2014,Second octile,1004497,11.512727265487104,21.418997794976004
2014,Top octile,1266839,14.26542757209085,24.558986277113767
2015,Fourth octile,509840,8.170014122077514,18.684880203581887
2015,Third octile,702125,9.637600142424782,20.135071230123543
2015,Second octile,1026828,11.714912331958224,21.412063977654373
2015,Top octile,1322525,14.76410653862876,24.533056094725467
2016,Fourth octile,524247,8.314401417652366,18.30090850692851
2016,Third octile,738118,9.782988627834573,19.952915108710705
2016,Second octile,1041387,11.836425843610494,21.30728604690783
2016,Top octile,1389135,14.913957246775873,24.495716181971762
2017,Fourth octile,533034,8.666989347771437,18.024589809082645
2017,Third octile,762591,9.9101615413767,20.19477598115754
2017,Second octile,1064286,11.945849142053921,20.895404992999733
2017,Top octile,1472106,15.066781875761665,24.597045072340272
2018,Fourth octile,552795,9.008402753281054,17.432427005100607
2018,Third octile,834156,10.022226058435113,20.169615195990477
2018,Second octile,1127585,12.191009990377665,20.729063609381367
2018,Top octile,1570996,15.39329189889726,24.26931538118001
2019,Fourth octile,569275,9.23420139651311,16.89430832445594
2019,Third octile,945725,10.129371646091624,19.17199047976951
2019,Second octile,1218880,12.17363481228669,19.741612864094026
2019,Top octile,1708009,15.227964255457671,23.47988235067956
