aff_id,occurrence
60015682,4825
60002746,3587
60016849,3199
60014232,2900
60025272,2810
60015481,2123
60025038,1915
60016782,1693
60008134,1687
60030612,1535
60027550,1529
60000905,1491
60023691,1477
60029929,1473
60011001,1392
60024621,1382
60002494,1374
60005037,1357
60010365,1333
60022148,1320
60024322,1318
60005247,1292
60014439,1258
60022195,1219
60005248,1207
60006297,1204
60025778,1201
60032179,1187
60030162,1177
60012708,1176
60026851,1175
60007174,1168
60025709,1167
60031101,1152
60002952,1118
60026553,1069
60003500,1064
60015150,1045
60015543,1041
60032350,1028
60029445,1023
60010065,1017
60012311,1006
60021199,1002
60028717,999
60019499,971
60032838,961
60002441,959
60013959,931
60007776,926
60016648,925
60025111,910
60032499,909
60001117,876
60009507,874
60069716,871
60013314,869
60000745,866
60010884,840
60025858,839
60029278,836
60025063,834
60017994,826
60008435,825
60020304,798
60031004,793
60011520,777
60030319,761
60006577,757
60011264,755
60113147,754
60031126,747
60000221,743
60022756,741
60004156,739
60030521,737
60030318,735
60014334,721
60017161,714
60013682,712
60005455,704
60007278,701
60031581,701
60014256,700
60015574,697
60011605,695
60025988,685
60007363,684
60020547,684
60009982,684
60024266,683
60001439,681
60030835,674
60003711,669
60016908,666
60013409,664
60002388,654
60006337,652
60031806,650
60013372,646
60003771,639
60029170,638
60003625,637
60019778,629
60019295,628
60021600,625
60033182,621
60028333,621
60028421,620
60009866,607
60000305,603
60000762,602
60007103,593
60016733,589
60027086,588
60014652,588
60008724,586
60025488,586
60000264,584
60001576,576
60003858,573
60019674,565
60031707,561
60019578,561
60021947,560
60032619,557
60013227,554
60015023,550
60027561,549
60021116,545
60009254,545
60029747,545
60028548,542
60002339,541
60029311,539
60014739,536
60003970,535
60019722,533
60002306,533
60007774,531
60005681,530
60003269,525
60024324,525
60011047,524
60008950,523
60032114,523
60009512,522
60014966,520
60005558,515
60026695,513
60028218,513
60001997,512
60017293,510
60033100,506
60006385,506
60012937,505
60007997,501
60017246,496
60030718,496
60000928,494
60007989,493
60006989,492
60003915,491
60006876,491
60004518,490
60027272,490
60012689,489
60028897,488
60019702,484
60032724,483
60030058,482
60026415,481
60031828,477
60025278,476
60004923,475
60020650,473
60005429,472
60012981,472
60015941,471
60029616,467
60010348,466
60011373,466
60024541,464
60008734,463
60019118,461
60025153,459
60004718,459
60001563,458
60021658,456
60006183,454
60016605,453
60008760,453
60000765,452
60007493,445
60001157,445
60004354,445
60021918,442
60027509,442
60019647,442
