aff_id1,aff_id2,occurrence
60002746,60029929,1032
60000905,60001422,930
60007174,60025038,814
60015682,60025272,745
60000905,60123796,741
60002746,60016782,703
60013314,60069716,644
60002746,60030521,620
60001255,60027363,579
60004828,60027363,572
60016782,60032499,562
60016849,60030319,546
60029622,60030280,491
60019499,60027363,463
60012256,60073387,445
60000905,60008134,438
60003625,60015481,438
60015682,60024322,433
60023578,60102126,425
60015742,60027363,413
60001422,60008134,401
60005247,60027550,399
60003525,60013314,372
60002746,60014334,371
60012311,60019295,371
60010348,60026108,369
60001422,60015622,360
60000905,60106017,353
60002746,60030058,343
60020351,60031913,341
60000905,60023578,341
60019793,60033316,336
60026601,60027363,330
60005037,60011766,322
60015574,60024266,312
60013141,60023052,307
60000905,60027245,295
60030612,60079887,291
60000656,60021119,290
60000905,60015622,288
60000905,60028950,288
60018150,60025709,287
60025370,60073385,286
60026489,60026553,283
60000905,60031594,282
60014468,60016849,281
60016849,60029150,281
60016849,60021600,278
60002952,60104546,277
60008435,60015682,273
60002173,60028897,272
60000905,60102125,267
60000905,60027386,263
60026553,60110201,259
60011001,60015682,253
60010348,60068729,246
60005037,60022119,244
60014739,60026695,241
60011549,60027363,237
60003711,60030118,236
60015682,60024621,236
60016849,60017018,231
60015765,60016849,231
60010884,60029991,230
60008134,60106017,228
60025063,60070034,227
60000905,60104653,227
60020469,60025111,224
60004346,60007249,223
60003711,60006297,222
60006894,60016849,221
60014416,60027509,218
60023691,60105915,217
60000905,60108488,215
60008724,60113147,214
60016648,60025272,214
60014334,60016782,213
60020044,60027363,212
60011605,60029358,211
60015682,60031126,210
60017994,60105857,207
60027363,60027631,207
60013682,60021119,206
60027631,60103801,205
60025709,60026571,205
60000905,60102126,204
60002746,60032499,204
60011047,60015682,202
60001563,60004518,202
60007363,60013227,201
60017412,60030440,200
60002952,60016987,199
60009102,60026553,197
60000905,60001772,196
60000905,60024652,195
60024252,60103673,194
60000905,60104665,194
60001117,60006183,193
60028084,60032838,191
60008768,60016849,188
60002441,60011641,188
60005429,60073385,187
60010365,60015670,187
60002058,60003500,187
60006297,60030118,185
60002194,60019905,184
60023681,60113147,184
60031913,60073391,182
60022195,60029929,182
60019793,60025063,179
60009367,60016380,179
60017293,60113231,175
60016849,60027016,174
60005247,60105856,170
60002746,60022195,170
60012708,60032838,169
60027314,60029428,168
60027386,60106017,168
60026040,60123796,166
60001997,60013243,166
60002746,60015527,166
60000221,60027716,164
60017622,60027363,163
60000445,60000905,162
60005247,60016173,161
60018573,60105859,160
60008760,60014090,160
60026553,60103600,159
60001117,60005248,158
60026877,60123796,158
60027363,60028797,157
60005247,60016081,156
60026553,60033129,155
60000264,60015682,154
60029358,60030162,154
60013255,60032882,153
60016733,60032702,153
60003970,60117836,151
60010884,60030222,150
60016849,60027817,149
60024007,60028717,149
60027086,60105917,146
60025778,60033182,145
60012981,60014232,145
60011605,60027565,145
60006564,60030840,145
60000656,60098516,144
60000905,60103368,144
60019118,60089931,144
60021255,60105391,143
60002401,60016849,142
60007895,60018869,142
60007200,60025778,142
60009102,60026489,142
60027363,60108609,141
60000928,60002339,141
60023970,60025066,141
60028868,60113665,140
60021523,60029701,139
60016849,60030951,138
60000905,60026040,138
60006988,60031941,138
60017483,60027363,138
60027363,60029608,138
60008134,60023578,137
60004156,60084278,137
60003915,60030769,136
60000305,60021578,135
60005558,60026829,135
60000905,60001861,135
60023955,60031106,134
60000905,60026221,134
60007067,60030318,134
60009507,60009657,134
60026748,60031828,133
60027363,60027470,132
60016849,60023022,132
60000905,60021567,132
60021182,60082502,132
60008134,60102126,132
60002573,60016529,132
60001524,60029857,131
60079887,60121686,131
60011339,60015023,131
60026311,60027363,131
60000058,60029238,131
60015481,60031866,130
60001801,60028333,130
60006377,60016849,130
60001157,60002483,129
60008134,60123796,129
60000905,60110693,129
60014232,60015543,129
60025063,60031069,128
60009622,60082964,127
60005610,60009507,127
60000656,60013682,126
60021605,60069716,126
60011447,60104653,125
60007997,60009343,125
60021947,60024609,124
60030857,60123796,123
60001117,60028925,123
60014277,60027363,123
60024621,60025272,123
60002494,60006558,123
60013959,60014232,122
60008134,60026221,122
60005037,60008870,121
60000905,60026877,120
60015481,60028548,119
60002864,60004518,119
60014416,60032350,118
60023882,60029616,118
60014077,60029170,118
60000905,60025066,117
60005245,60026553,117
60008693,60032702,117
60015183,60020565,116
60011605,60030162,115
60017777,60019595,115
60010884,60026135,115
60003625,60008032,115
60027565,60030162,114
60016849,60017829,114
60000305,60021160,113
60010261,60022756,113
60008014,60019578,113
60012357,60023578,113
60010365,60028379,113
60010365,60027009,113
60009866,60028421,113
60021564,60102125,112
60000905,60022785,112
60019722,60024007,112
60000445,60104665,110
60027363,60028965,110
60009408,60017777,110
60004437,60025709,110
60014232,60029445,110
60014773,60027363,110
60002441,60008978,110
60021660,60032350,109
60014652,60015682,109
60008693,60016733,109
60004354,60008023,109
60006337,60024997,109
60015682,60016648,109
60006130,60006762,108
60009512,60031564,107
60014982,60073386,107
60002494,60022165,107
60027363,60102074,106
60016521,60073509,106
60017161,60026680,106
60019706,60027363,105
60016849,60085801,105
60027502,60069716,103
60005248,60006183,103
60016782,60022195,103
60007249,60013435,103
60017293,60021199,103
60010971,60011666,103
60012614,60019619,102
60002414,60014256,102
60001422,60021567,101
60006795,60019295,101
60000905,60046714,101
60006297,60014232,101
60019578,60026553,100
60006463,60024541,100
60012954,60016622,100
60001361,60015543,100
60002746,60003828,99
60003625,60028548,99
60001421,60023222,99
60000264,60003218,98
60019499,60025084,98
60024652,60027386,97
60000905,60030857,97
60019163,60123796,97
60010146,60104406,96
60019356,60022195,96
60000905,60032006,96
60016782,60029929,96
60022430,60031155,96
60016908,60017059,96
60021523,60022015,95
60015658,60015682,95
60018704,60027363,95
60006027,60010023,95
60005037,60015234,95
60017724,60104665,95
60029929,60032499,94
60004573,60014966,94
60016433,60021326,94
60000905,60005711,94
60008134,60104653,94
60000905,60033051,93
60006297,60023009,93
60005455,60017994,93
60020745,60027363,93
60016782,60030521,92
60009839,60030835,92
60014256,60015682,92
60023691,60025038,92
60009796,60017866,92
60006974,60025709,91
60003992,60025709,91
60020475,60078901,91
60009788,60024324,91
60015165,60021519,90
60012281,60024885,90
60001576,60030315,90
60000905,60021564,90
60002746,60009470,90
60005101,60019840,89
60002746,60009982,89
60003711,60014232,89
60012018,60015543,89
60015682,60019207,89
60014232,60023691,89
60020048,60030835,88
60012937,60070023,88
60012259,60114686,88
60025029,60031004,88
60003156,60009999,87
60002645,60030612,87
60001001,60029929,87
60007774,60087929,87
60009358,60026559,86
60002414,60015682,86
60027550,60105856,86
60006173,60014232,86
60009512,60024854,86
60008970,60024285,86
60018910,60027363,85
60023691,60029881,85
60027565,60029358,85
