,Argentina,Australia,Austria,Belgium,Canada,Chile,China,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Lithuania,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,United States
Argentina,390.0,5.0,3.0,1.0,4.0,,,,1.0,,,14.0,12,,,,,9.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,28.0,1.0,2.0,,,6.0,65
Australia,1.0,2026.0,7.0,3.0,68.0,1.0,18.0,,4.0,,6.0,15.0,39,,1.0,3.0,4.0,2.0,36.0,,,15.0,50.0,3.0,3.0,,,2.0,9.0,,,13.0,1.0,1.0,16.0,18.0,1.0,1.0,157.0,215
Austria,,2.0,400.0,,8.0,2.0,,5.0,4.0,,5.0,19.0,60,1.0,2.0,,,8.0,2.0,,1.0,4.0,,1.0,2.0,1.0,2.0,6.0,,3.0,1.0,,,1.0,2.0,17.0,,1.0,9.0,71
Belgium,2.0,5.0,5.0,658.0,8.0,1.0,2.0,1.0,4.0,,,59.0,44,,1.0,2.0,2.0,7.0,10.0,,,57.0,,1.0,4.0,,4.0,1.0,1.0,,,4.0,,20.0,6.0,7.0,,,45.0,73
Canada,1.0,29.0,5.0,13.0,3971.0,,19.0,5.0,13.0,1.0,5.0,59.0,74,2.0,5.0,4.0,8.0,11.0,30.0,,8.0,12.0,7.0,8.0,10.0,1.0,2.0,11.0,5.0,,2.0,4.0,10.0,12.0,9.0,26.0,6.0,,101.0,518
Chile,,1.0,,3.0,1.0,71.0,,,3.0,,2.0,8.0,11,,,,,,1.0,,1.0,3.0,,,,,,,,,,,,7.0,3.0,1.0,,,2.0,41
China,2.0,27.0,8.0,7.0,24.0,,1268.0,1.0,7.0,,8.0,24.0,105,,1.0,2.0,15.0,15.0,165.0,,,31.0,2.0,,1.0,2.0,,,26.0,,,1.0,16.0,4.0,30.0,13.0,9.0,1.0,36.0,305
Czechia,,,6.0,2.0,3.0,,,166.0,3.0,,1.0,12.0,22,,,,2.0,6.0,12.0,,,3.0,,,1.0,1.0,,5.0,,4.0,,1.0,,2.0,2.0,4.0,1.0,,11.0,35
Denmark,2.0,10.0,2.0,1.0,13.0,,3.0,4.0,601.0,,5.0,16.0,44,1.0,1.0,2.0,1.0,8.0,6.0,2.0,1.0,7.0,,6.0,2.0,1.0,,9.0,,,,1.0,,4.0,29.0,8.0,,2.0,37.0,105
Estonia,,1.0,,,1.0,,,,2.0,31.0,9.0,4.0,8,,,,,,,,,1.0,,,,,,,,,,,,1.0,13.0,,,,,4
Finland,1.0,8.0,3.0,,7.0,,,,5.0,7.0,821.0,9.0,23,,2.0,,,9.0,12.0,1.0,,6.0,3.0,14.0,2.0,,,17.0,,,,1.0,,6.0,30.0,5.0,,,19.0,116
France,10.0,30.0,12.0,53.0,90.0,8.0,13.0,15.0,12.0,,7.0,4560.0,177,6.0,8.0,5.0,12.0,107.0,46.0,3.0,8.0,38.0,2.0,7.0,29.0,4.0,3.0,39.0,1.0,4.0,3.0,5.0,3.0,49.0,28.0,130.0,,2.0,151.0,399
Germany,6.0,36.0,47.0,25.0,61.0,2.0,53.0,14.0,20.0,3.0,14.0,163.0,3991,20.0,19.0,3.0,28.0,60.0,78.0,2.0,7.0,70.0,12.0,22.0,33.0,3.0,11.0,103.0,2.0,5.0,2.0,11.0,13.0,37.0,55.0,127.0,3.0,5.0,204.0,823
Greece,,,,1.0,5.0,,1.0,1.0,1.0,,1.0,12.0,19,308.0,,1.0,,12.0,4.0,,,2.0,,1.0,,,1.0,2.0,,,1.0,1.0,,1.0,2.0,4.0,,,36.0,62
Hungary,,17.0,4.0,3.0,5.0,,1.0,,2.0,,3.0,30.0,23,,158.0,,1.0,8.0,13.0,,,6.0,,,,,,1.0,,1.0,,,,1.0,8.0,5.0,,,13.0,75
Ireland,,5.0,6.0,1.0,5.0,,,,,,1.0,2.0,10,,1.0,112.0,,2.0,,,,5.0,,1.0,,1.0,,1.0,2.0,,,,,1.0,1.0,2.0,,,46.0,44
Israel,,5.0,2.0,,15.0,,2.0,1.0,4.0,,1.0,16.0,30,,,,1041.0,6.0,3.0,,2.0,1.0,,,,,,7.0,,,,1.0,2.0,,3.0,6.0,,5.0,16.0,179
Italy,,4.0,11.0,25.0,18.0,1.0,9.0,1.0,2.0,,4.0,81.0,106,,2.0,5.0,7.0,3534.0,16.0,1.0,2.0,30.0,1.0,1.0,5.0,1.0,1.0,25.0,,,1.0,2.0,,33.0,20.0,83.0,2.0,1.0,107.0,282
Japan,,31.0,3.0,17.0,65.0,1.0,76.0,2.0,12.0,,6.0,55.0,97,,7.0,1.0,11.0,11.0,7580.0,,1.0,30.0,5.0,4.0,5.0,1.0,2.0,27.0,2.0,,1.0,2.0,56.0,4.0,46.0,26.0,2.0,4.0,122.0,802
Lithuania,,,,2.0,,,,,1.0,,4.0,,9,1.0,,,,,1.0,25.0,,1.0,,3.0,,,,1.0,,,,,,,9.0,1.0,,,2.0,11
Mexico,2.0,3.0,1.0,1.0,8.0,1.0,,1.0,1.0,,,19.0,11,,,,,3.0,2.0,1.0,315.0,5.0,1.0,,2.0,,,2.0,,,,,,19.0,,2.0,1.0,,27.0,98
Netherlands,1.0,32.0,7.0,39.0,32.0,,11.0,1.0,9.0,1.0,9.0,50.0,112,5.0,6.0,3.0,7.0,24.0,15.0,,2.0,1805.0,2.0,3.0,6.0,7.0,5.0,20.0,,1.0,,2.0,1.0,21.0,16.0,13.0,,2.0,102.0,168
New Zealand,,41.0,1.0,1.0,17.0,1.0,,,1.0,,,2.0,6,,,,2.0,,7.0,,,1.0,177.0,2.0,,,,,3.0,,,8.0,,,1.0,1.0,,,36.0,39
Norway,,2.0,,10.0,10.0,,4.0,1.0,10.0,,2.0,14.0,19,1.0,,1.0,,2.0,3.0,2.0,,13.0,3.0,443.0,,,,6.0,,,,,,2.0,33.0,5.0,,,20.0,47
Other,9.0,98.0,25.0,79.0,155.0,6.0,78.0,8.0,25.0,,15.0,380.0,302,8.0,10.0,8.0,16.0,75.0,210.0,,20.0,72.0,4.0,14.0,23.0,15.0,8.0,38.0,14.0,1.0,3.0,14.0,9.0,77.0,86.0,47.0,16.0,24.0,348.0,1212
Poland,,7.0,7.0,6.0,9.0,,2.0,,5.0,,2.0,46.0,73,,,,3.0,11.0,19.0,,2.0,10.0,,2.0,255.0,,,12.0,3.0,,,3.0,5.0,2.0,10.0,18.0,,,28.0,135
Portugal,,,,1.0,4.0,,3.0,,4.0,,,15.0,6,,,1.0,,4.0,1.0,,,8.0,,,,292.0,1.0,2.0,,,,,,5.0,6.0,3.0,,1.0,35.0,29
Romania,,,2.0,4.0,,,,,,,,18.0,12,1.0,3.0,,3.0,13.0,3.0,,,4.0,,,2.0,,22.0,2.0,,,,,,9.0,1.0,,,,13.0,26
Russia,,12.0,8.0,18.0,24.0,1.0,2.0,5.0,18.0,,10.0,106.0,217,4.0,,1.0,11.0,33.0,70.0,,10.0,25.0,,5.0,11.0,6.0,1.0,288.0,,,1.0,,9.0,20.0,60.0,24.0,4.0,1.0,69.0,232
Singapore,,13.0,,,4.0,,8.0,,,,1.0,1.0,4,,,,,,3.0,,,2.0,2.0,1.0,,,,1.0,90.0,,,,1.0,1.0,2.0,1.0,3.0,,14.0,38
Slovakia,,1.0,7.0,3.0,2.0,,,2.0,2.0,,,2.0,12,,,,1.0,2.0,2.0,,,2.0,,1.0,,,,3.0,,48.0,,,,1.0,5.0,3.0,,,7.0,15
Slovenia,,,1.0,1.0,,,,,,,,,5,1.0,,,,4.0,2.0,,,5.0,,,,,,,,,62.0,,,,2.0,,,,2.0,10
South Africa,,8.0,2.0,3.0,8.0,,1.0,,,,1.0,4.0,9,1.0,,,,1.0,1.0,,,4.0,1.0,,4.0,,1.0,3.0,,,,194.0,,,4.0,2.0,,,24.0,40
South Korea,,4.0,1.0,,8.0,,6.0,,,,,3.0,7,,,,,6.0,60.0,,,1.0,1.0,,1.0,,,12.0,,,,,799.0,1.0,,1.0,1.0,,12.0,330
Spain,12.0,6.0,9.0,14.0,11.0,3.0,4.0,2.0,3.0,,4.0,81.0,84,1.0,3.0,1.0,,24.0,4.0,,9.0,16.0,,1.0,2.0,2.0,,10.0,1.0,,3.0,1.0,,1369.0,14.0,15.0,,,105.0,221
Sweden,2.0,19.0,2.0,7.0,19.0,2.0,8.0,4.0,26.0,4.0,37.0,32.0,61,2.0,2.0,4.0,2.0,14.0,25.0,2.0,,22.0,1.0,24.0,9.0,2.0,1.0,24.0,4.0,,2.0,,1.0,13.0,1300.0,26.0,,,63.0,141
Switzerland,1.0,18.0,6.0,12.0,39.0,,4.0,7.0,15.0,,12.0,107.0,141,4.0,5.0,1.0,1.0,59.0,18.0,,3.0,26.0,4.0,,8.0,4.0,,15.0,1.0,1.0,1.0,4.0,,10.0,12.0,658.0,,1.0,75.0,305
Taiwan,,7.0,,,10.0,,8.0,,,,,2.0,5,,,,1.0,,6.0,,,,1.0,,1.0,,,1.0,,1.0,,,2.0,,2.0,,901.0,,9.0,142
Turkey,,3.0,2.0,2.0,3.0,,,,1.0,,1.0,,22,,,,1.0,2.0,3.0,,,1.0,,,1.0,,,3.0,,,,2.0,,6.0,1.0,5.0,,274.0,35.0,92
United Kingdom,4.0,130.0,30.0,37.0,128.0,2.0,43.0,8.0,39.0,1.0,16.0,177.0,228,19.0,13.0,54.0,20.0,94.0,103.0,1.0,10.0,94.0,25.0,14.0,13.0,18.0,,19.0,11.0,7.0,1.0,15.0,7.0,70.0,55.0,76.0,9.0,13.0,5514.0,609
United States,49.0,235.0,72.0,61.0,698.0,23.0,146.0,20.0,73.0,,94.0,388.0,752,32.0,34.0,27.0,193.0,184.0,528.0,2.0,76.0,205.0,49.0,30.0,48.0,30.0,11.0,129.0,35.0,7.0,14.0,51.0,160.0,155.0,202.0,337.0,95.0,36.0,726.0,38853
